city,iata,role,enplanements,country_code,region_name,airport_name,latitude,longitude
Midland / Odessa,MAF,P-S,504264,US,Texas,Midland International Air and Space Port,31.9425,-102.202
Cedar City,CDC,P-N,12807,US,Utah,Cedar City Regional Airport,37.701,-113.099
Moab,CNY,P-N,20093,US,Utah,Canyonlands Field,38.755,-109.755
Salt Lake City,SLC,P-L,10795906,US,Utah,Salt Lake City International Airport,40.7884,-111.978
Richmond,RIC,P-S,2048691,US,Virginia,Richmond International Airport,37.5052,-77.3197
"Washington, D.C. / Arlington",DCA,P-L,11366771,US,Virginia,Ronald Reagan Washington National Airport,38.8522,-77.0378
"Washington, D.C. / Dulles / Chantilly",IAD,P-L,11621623,US,Virginia,Washington Dulles International Airport,38.9445,-77.4558
Bellingham,BLI,P-N,368186,US,Washington,Bellingham International Airport,48.7928,-122.538
Seattle,BFI,P-N,18586,US,Washington,Boeing Field/King County International Airport,47.53,-122.302
Seattle / Tacoma (SeaTac),SEA,P-L,24024908,US,Washington,Seattle-Tacoma International Airport,47.449,-122.309
Charleston,CRW,P-N,164240,US,West Virginia,Yeager Airport,38.3731,-81.5932
Casper,CPR,P-N,66629,US,Wyoming,Casper-Natrona County International Airport,42.908,-106.464
Jackson,JAC,P-S,497548,US,Wyoming,Jackson Hole Airport,43.6073,-110.738
San Juan / Carolina,SJU,P-M,4033412,PR,Carolina,Luis Munoz Marin International Airport,18.4394,-66.0018
"Charlotte Amalie, St. Thomas",STT,P-S,417871,VI,"Virgin Islands, U.S.",Cyril E. King Airport,18.3373,-64.9734
