City,FAA,IATA,ICAO,Airport,Role,Enplanements
Shreveport,SHV,SHV,KSHV,Shreveport Regional Airport,P-N,291136.0
MAINE,,,,,,
Bangor,BGR,BGR,KBGR,Bangor International Airport,P-N,336140.0
Portland,PWM,PWM,KPWM,Portland International Jetport,P-S,1062873.0
Presque Isle,PQI,PQI,KPQI,Presque Isle International Airport,P-N,10865.0
Rockland,RKD,RKD,KRKD,Knox County Regional Airport,P-N,17133.0
MARYLAND,,,,,,
Baltimore,BWI,BWI,KBWI,Baltimore/Washington International Airport,P-L,11151169.0
Hagerstown,HGR,HGR,KHGR,Hagerstown Regional Airport (Richard A. Henson Field),P-N,32197.0
Salisbury,SBY,SBY,KSBY,Salisbury Regional Airport,P-N,47275.0
MASSACHUSETTS,,,,,,
Boston,BOS,BOS,KBOS,Gen. Edward Lawrence Logan International Airport,P-L,20006521.0
Hyannis,HYA,HYA,KHYA,Cape Cod Gateway Airport (Boardman/Polando Field),P-N,28341.0
Nantucket,ACK,ACK,KACK,Nantucket Memorial Airport,P-N,126610.0
Vineyard Haven,MVY,MVY,KMVY,Martha's Vineyard Airport,P-N,52605.0
Worcester,ORH,ORH,KORH,Worcester Regional Airport,P-N,71631.0
MICHIGAN,,,,,,
Alpena,APN,APN,KAPN,Alpena County Regional Airport,P-N,11614.0
Detroit,DTW,DTW,KDTW,Detroit Metro Wayne County Airport,P-L,17436837.0
Escanaba,ESC,ESC,KESC,Delta County Airport,P-N,18474.0
Flint,FNT,FNT,KFNT,Bishop International Airport,P-N,361709.0
Grand Rapids,GRR,GRR,KGRR,Gerald R. Ford International Airport,P-S,1631398.0
Hancock,CMX,CMX,KCMX,Houghton County Memorial Airport,P-N,24041.0
Iron Mountain,IMT,IMT,KIMT,Ford Airport,P-N,19552.0
Kalamazoo,AZO,AZO,KAZO,Kalamazoo/Battle Creek International Airport,P-N,152845.0
Lansing,LAN,LAN,KLAN,Capital Region International Airport (was Lansing Capital City),P-N,184018.0
Marquette,SAW,MQT,KSAW,Marquette Sawyer Regional Airport,P-N,53558.0
Muskegon,MKG,MKG,KMKG,Muskegon County Airport,P-N,18718.0
